signal_name,total_return_pct,sharpe_ratio,sortino_ratio,calmar_ratio
SMA|high|18|35,101.49437047030534,0.02793874464556814,0.037598482432011644,0.023248669847136673
SMA|low|12|50,101.45595773155674,0.027224479188646598,0.03669350534509929,0.023138367803394577
SMA|low|20|55,101.30873542550549,0.024485064059934874,0.03288434551163853,0.015211077487768303
SMA|close|20|55,101.29514953005436,0.024232115390406792,0.032563779479983,0.016904770804593315
SMA|close|4|10,101.27671693319303,0.023888887638918412,0.03169668252099051,0.01356339517546091
SMA|high|6|50,101.18295337596793,0.022142214962740076,0.029680868308274263,0.01664285804925711
EMA|high|10|20,101.15379600418548,0.02159880852721834,0.02885773837640517,0.01324550215400859
SMA|open|6|45,101.07125603712983,0.020059868719800963,0.02691802622139163,0.012025899551531905
SMA|close|4|60,101.0333290925266,0.019352411114785598,0.025892240795191413,0.013345940420740452
SMA|close|8|45,100.98021580138399,0.018361343227296142,0.0246219059401238,0.012621988263229958
EMA|close|10|50,100.7743918154181,0.0145170500024291,0.01939873075659606,0.01012811039819427
EMA|close|5|100,100.62342388089138,0.011693567306504223,0.015613237126335994,0.007606141177658874
EMA|high|5|100,100.600584276091,0.011266130576984163,0.015066256196503782,0.008461614397646545
SMA|close|18|60,100.57431094811722,0.010774342130615193,0.014475328154396257,0.007348461353827081
SMA|low|14|55,100.46888994703076,0.008800079362870883,0.01184831547520024,0.005866865475163202
EMA|open|5|100,100.24373038220395,0.004578183340094449,0.0061200728683816815,0.0034322220366627227
SMA|low|8|45,100.16178080679683,0.0030397967954885535,0.004078272697427675,0.0020288639475645486
EMA|high|5|50,100.05180403755234,0.0009737807659791266,0.001295163516040206,0.000651798581191006
SMA|low|18|35,100.00980596443915,0.00018435574959973434,0.00024807605007618405,0.00014569267403972166
SMA|close|18|55,99.93992369381424,-0.0011297545759546433,-0.0015167938570360593,-0.000851675525447842
EMA|close|5|50,99.8027269233686,-0.0037117072189236174,-0.004939607915137671,-0.0025495775722328964
SMA|low|10|50,99.67180686088496,-0.006178034569873246,-0.008326823454731342,-0.004901404903927146
SMA_CROSS|open|10|100,99.36690914550503,-0.01193131542626143,-0.016001712899775547,-0.007356391447762864
SMA|low|6|50,99.31118460180053,-0.012984251368409992,-0.017384910361885966,-0.007739349947618198
SMA|high|14|50,99.26126089875011,-0.01392795692937115,-0.01870832205422611,-0.010929545471980195
SMA|high|10|50,99.2362852488455,-0.014400204942932303,-0.019373794146737365,-0.010481043124952655
SMA|low|12|15,99.23022859488017,-0.014514739550599,-0.020709712251566068,-0.006596855384567772
SMA|low|4|40,99.10478232370063,-0.016888186874886055,-0.0225231037959759,-0.011606809636669222
RSI|low|28,99.05450650923423,-0.01784004290914284,-0.024999047160207687,-0.01013346465724808
SMA|low|18|55,98.93073314653748,-0.02018495973428665,-0.027109279890095074,-0.013640963249346697
SMA|low|12|60,98.89128653558176,-0.020932750583998124,-0.028182367729990148,-0.012023234178688596
SMA|open|14|15,98.77691605559687,-0.023102148811444182,-0.03311774682586964,-0.011131960191639463
SMA|close|20|35,98.75712325319049,-0.02347777459268967,-0.03152064776130544,-0.016547500450063146
SMA|open|16|35,98.67220595209719,-0.025089970449647794,-0.03376771959037075,-0.019389471557202265
SMA|open|14|50,98.66237736900048,-0.025276638425743764,-0.033999921813290826,-0.01759072897224335
SMA|open|16|60,98.62217425303402,-0.026040336540150873,-0.03494850065613404,-0.018930645059425145
SMA|low|4|55,98.57487441968141,-0.02693914468299556,-0.03594315148133586,-0.01494852011398586
SMA|high|4|35,98.5291434917156,-0.027808449413152338,-0.03684692821613765,-0.01885466708703892
SMA|low|4|10,98.37220088317011,-0.030794107604965648,-0.04072216622394665,-0.016227873803815837
SMA|high|12|50,98.23418429825395,-0.03342269100759009,-0.04499303255447707,-0.027289827418716033
SMA|open|4|50,98.1768554153039,-0.03451536273597941,-0.046055457546016046,-0.018427979848883842
EMA|open|15|20,98.12288718453898,-0.035544421456774423,-0.047523764244421736,-0.020385497478078697
SMA|high|20|55,98.09558050027347,-0.03606526424340405,-0.04835908877017699,-0.021989023439179876
SMA|open|12|45,97.95317601933321,-0.03878323613275359,-0.05220029134147176,-0.027952094963504783
SMA|high|12|40,97.94179793197266,-0.03900053010924289,-0.05251036403150644,-0.029158682322105764
SMA|high|12|55,97.61746205071837,-0.0452025878633354,-0.06075553576218727,-0.03648919225122829
SMA|close|4|30,97.54078398298671,-0.04667112338420978,-0.061997696979645515,-0.02858004447872171
SMA|open|20|30,97.50057855496938,-0.04744148442128703,-0.06386362591800013,-0.023430353741524464
SMA|high|8|45,97.49488867948305,-0.04755052534555829,-0.06369431497094546,-0.027794484072866915
SMA|open|8|50,97.4613772540563,-0.04819283662103528,-0.06480753586987541,-0.03221043774700134
SMA|open|8|40,97.35048745185514,-0.05031944305580283,-0.06747071835075456,-0.0314151796405071
EMA|open|5|50,97.34446690261589,-0.050434955387223916,-0.06716913956932435,-0.034004288365015095
SMA|low|20|35,97.3025429236362,-0.05123947278124219,-0.06884729516104864,-0.035881425257123414
SMA|low|6|45,97.24750437541971,-0.05229605481737821,-0.07004317636042277,-0.02848550374143495
SMA|close|16|45,97.24429427848436,-0.052357693383696675,-0.0702390093332048,-0.039952099938097306
SMA|low|16|50,97.23277772615111,-0.05257884070603844,-0.0707559233407483,-0.0355468350144504
SMA|close|10|50,97.22026559088062,-0.0528191281804865,-0.07092099438812006,-0.03477901967780591
SMA_CROSS|close|10|50,97.22026559088062,-0.0528191281804865,-0.07092099438812006,-0.03477901967780591
SMA|close|18|45,97.19655755778672,-0.0532744896500423,-0.0714474612222381,-0.03437413547758345
SMA|close|4|25,97.02496056123704,-0.0565728637969425,-0.07533024621078621,-0.03813339869065617
EMA|low|10|20,96.92013402547504,-0.058589967451925754,-0.07799028369696655,-0.03353085248533442
SMA|low|10|15,96.9079622300959,-0.05882428745795855,-0.0790364182219507,-0.024235846272607973
SMA|low|20|30,96.90383518571286,-0.05890374249436969,-0.07917643362856953,-0.030118859005143182
SMA|open|16|50,96.86449996891686,-0.05966116350974281,-0.08031868913410734,-0.03788211851201831
SMA|close|12|60,96.85404926296229,-0.05986243657029167,-0.08048641444965528,-0.041825473627890575
SMA|high|20|35,96.72836405562275,-0.062284327816734035,-0.083634482471651,-0.04550646848313828
SMA|close|16|50,96.54430855798479,-0.06583527454756384,-0.08851982561487977,-0.0438755785488494
EMA|low|10|100,96.42626879030203,-0.0681152825190284,-0.0913403095597848,-0.04281794574197195
SMA|low|12|55,96.39494030604074,-0.06872076442809524,-0.09225956164040702,-0.04331673815815382
VOLBO|open|20|1.0,96.3534958913619,-0.06952198396862347,-0.09749609726771291,-0.024628948152491396
SMA|open|6|40,96.3099778565626,-0.07036357150243826,-0.09392848877847043,-0.031247264323224076
SMA|close|6|40,96.23631542166999,-0.07178877053096154,-0.09554093845187814,-0.04437808529256473
