signal_name,total_return_pct,sharpe_ratio,sortino_ratio,calmar_ratio
SMA|low|10|50,99.19402248770879,-0.015071903763652186,-0.020314224599588634,-0.01189342427333014
SMA|close|18|60,99.0899943788075,-0.017024001106205427,-0.022863888403840706,-0.011548781116440983
SMA|low|12|15,99.00192584916806,-0.018677829689105918,-0.026638172667950558,-0.008443501967313825
SMA|high|10|50,98.5979979174076,-0.026277462723557125,-0.03535299469750911,-0.019023386303277254
SMA|high|14|50,98.400024663239,-0.030010816377465055,-0.04030991383308149,-0.0234240021561371
SMA|low|18|55,98.32881476764712,-0.031355075433189154,-0.04211130609475215,-0.021076259717953138
SMA|close|4|30,98.15873490087233,-0.03456873282562323,-0.0459258499466344,-0.021054238064055344
SMA|low|4|10,98.10997692321641,-0.03549079267974669,-0.04693519637389481,-0.018601844341417043
SMA|low|6|50,97.91455561288461,-0.03918988549086752,-0.05245518550044919,-0.02323433512693899
SMA|high|8|45,97.8932843907738,-0.03959286201747187,-0.0530452669405501,-0.023019112793006523
SMA|low|18|35,97.70764720917393,-0.043112519426918655,-0.05799045470464156,-0.03388857681265291
SMA|high|12|40,97.62270848611391,-0.044724637222204384,-0.06022561273482051,-0.03325926700379845
SMA|low|4|55,97.61379259580772,-0.04489392046633447,-0.059888887551191775,-0.02477824203271414
SMA|high|20|55,97.15086424644188,-0.05369954418672799,-0.07200147784468452,-0.03256536432853436
SMA|high|12|50,97.12757228602304,-0.05414343351887272,-0.07288281850117032,-0.04397174572797992
SMA|low|12|60,96.97068544251869,-0.05713542747002094,-0.07689395310938639,-0.03264142819829448
SMA|close|20|35,96.87412615303687,-0.058978737386666466,-0.07915421006089905,-0.04134657921970502
SMA|close|4|25,96.84799338130843,-0.05947784959236511,-0.07918722872954696,-0.03987407868407517
SMA|low|10|15,96.77254519398272,-0.060919414524994935,-0.08184193218875485,-0.024964660574511695
SMA|low|6|45,96.68910056235367,-0.06251475757211745,-0.08371638681743747,-0.03386928091326619
SMA|high|12|55,96.60871296037328,-0.06405264189430585,-0.08608736301164253,-0.05142881002312843
SMA|close|10|50,96.59494528863333,-0.06431612664452843,-0.08635804119571178,-0.042122528850812246
SMA|close|18|45,96.58166169407096,-0.06457037414521417,-0.08659525560092932,-0.041439474058363415
SMA|low|16|50,96.56247982300273,-0.06493756121761528,-0.08738679628597447,-0.043667100362234125
SMA|high|8|40,96.55159423052143,-0.06514596219009793,-0.08722118669124619,-0.03422208545997063
SMA|close|16|45,96.27418300712175,-0.07046292664838592,-0.09452379089841836,-0.05347960955936659
SMA|close|16|50,96.11598166821203,-0.07350027323164998,-0.09882513011699744,-0.04872160395819243
SMA|close|6|40,95.98990714120399,-0.0759235239707578,-0.10103125921786986,-0.0466827917852753
SMA|low|4|35,95.9565572213467,-0.07656493895569719,-0.10175895619873697,-0.047462636115941294
SMA|close|4|20,95.93204461396515,-0.07703649473799622,-0.10209109241877191,-0.042066096930553666
SMA|high|16|50,95.68106386552772,-0.08186994411989394,-0.11006899775415588,-0.05508265873699769
SMA|low|20|30,95.63064865336918,-0.08284201177208715,-0.11132872931687125,-0.0421322503155208
SMA|high|18|50,95.51606643776141,-0.0850527443923698,-0.11432443204526742,-0.05250654257437418
